codigo;descripcion;descripcion_en;clasificacion
W 70;Información de salud;Health information;Medicina general. Profesiones de la salud
W 74;Economía médica. Costos de la atención médica (General);Medical economics. Health care costs (General);Medicina general. Profesiones de la salud
W 74.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 76;Personal y servicios de salud, distribución y características;Health workforce and services, distribution and characteristics;Medicina general. Profesiones de la salud
W 76.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 79;Ingresos de los médicos;Income of physicians;Medicina general. Profesiones de la salud
W 80;Gestión de la práctica (incluida la administración de empresas);Practice management (including business administration);Medicina general. Profesiones de la salud
W 81;Turismo médico;Medical tourism;Medicina general. Profesiones de la salud
W 82;Tecnología biomédica (general);Biomedical technology (General);Medicina general. Profesiones de la salud
W 83;Telemedicina (General);Telemedicine (General);Medicina general. Profesiones de la salud
W 83.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 84;Servicios de salud. Prestación de atención sanitaria (General);Health services. Delivery of health care (General);Medicina general. Profesiones de la salud
W 84.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 84.3;Investigación (General);Research (General);Medicina general. Profesiones de la salud
W 84.4;Calidad de la atención sanitaria (General);Quality of health care (General);Medicina general. Profesiones de la salud
W 84.41;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 84.5;Atención integral de salud. Medicina comunitaria. Atención con competencia cultural.;Comprehensive health care. Community medicine. Culturally competent care;Medicina general. Profesiones de la salud
W 84.6;Atención primaria de salud (general);Primary health care (General);Medicina general. Profesiones de la salud
W 84.61;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 84.7;Planificación de la atención al paciente. Atención médica progresiva (General);Patient care planning. Progressive health care (General);Medicina general. Profesiones de la salud
W 84.8;Equipo de atención al paciente;Patient care team;Medicina general. Profesiones de la salud
W 85;Pacientes. Actitud y cumplimiento;Patients. Attitude and compliance;Medicina general. Profesiones de la salud
W 85.2;Satisfacción del paciente;Patient satisfaction;Medicina general. Profesiones de la salud
W 85.4;Derechos del paciente. Defensa;Patient rights. Advocacy;Medicina general. Profesiones de la salud
W 85.5;Derecho a morir. Instrucciones anticipadas. Testamentos vitales.;Right to die. Advance directives. Living wills;Medicina general. Profesiones de la salud
W 86;Fraude en la atención médica. Abuso de los servicios de salud.;Health care fraud. Health services misuse;Medicina general. Profesiones de la salud
W 87;Práctica profesional;Professional practice;Medicina general. Profesiones de la salud
W 88;Trabajo administrativo. Docencia. Investigación.;Administrative work. Teaching. Research;Medicina general. Profesiones de la salud
W 89;Medicina general o de familia (como especialidad). Práctica privada.;General or family practice (As a specialty). Private practice;Medicina general. Profesiones de la salud
W 90;Especialización (General);Specialization (General);Medicina general. Profesiones de la salud
W 92;Práctica grupal. Práctica en colaboración.;Group practice. Partnership practice;Medicina general. Profesiones de la salud
[W 94];[Este número no se utiliza];[This number not used];Medicina general. Profesiones de la salud
W 96;Práctica institucional;Institutional practice;Medicina general. Profesiones de la salud
W 100;Obras generales;General works;Medicina general. Profesiones de la salud
W 125;Planes de prepago voluntarios (generales o no clasificados en otra parte);Voluntary pre-payment plans (General or not elsewhere classified);Medicina general. Profesiones de la salud
W 125.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 130;Planes de atención administrada (generales o no clasificados en otra parte);Managed care plans (General or not elsewhere classified);Medicina general. Profesiones de la salud
W 130.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 132;Organizaciones de mantenimiento de la salud;Health maintenance organizations;Medicina general. Profesiones de la salud
W 132.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 160;Seguro de hospitalización. Seguro de gastos médicos mayores. Seguro de cuidados a largo plazo. Seguro Medigap.;Hospitalization insurance. Major medical insurance. Long-term care insurance. Medigap insurance;Medicina general. Profesiones de la salud
W 160.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 185;Planes de prepago obligatorios (no son función del Estado) (Generales o no clasificados en otra parte);Compulsory pre-payment plans (not a function of the state) (General or not elsewhere classified);Medicina general. Profesiones de la salud
W 185.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 225;La medicina como función del Estado;Medicine as function of the state;Medicina general. Profesiones de la salud
W 225.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 250;Atención médica para grupos de bajos ingresos, sin seguro médico e indigentes. Medicaid;Medical care for low-income, uninsured and indigent groups. Medicaid;Medicina general. Profesiones de la salud
W 250.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 255;Seguro de enfermería;Nursing insurance;Medicina general. Profesiones de la salud
W 260;Seguro dental. Odontología estatal.;Dental insurance. State dentistry;Medicina general. Profesiones de la salud
W 260.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 265;Seguro farmacéutico;Pharmaceutical insurance;Medicina general. Profesiones de la salud
W 265.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 270;Seguro psiquiátrico;Psychiatric insurance;Medicina general. Profesiones de la salud
W 270.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 273;Seguro de la vista;Vision insurance;Medicina general. Profesiones de la salud
W 273.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 275;Planes de servicios generales, por país;General service plans, by country;Medicina general. Profesiones de la salud
W 322;Trabajo social médico;Medical social work;Medicina general. Profesiones de la salud
W 323;Misiones. Misioneros;Missions. Missionaries;Medicina general. Profesiones de la salud
W 600;Jurisprudencia médica;Medical jurisprudence;Medicina general. Profesiones de la salud
W 601;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Medicina general. Profesiones de la salud
W 605;Obras recopiladas de varios autores;Collected works by several authors;Medicina general. Profesiones de la salud
W 607;Obras recopiladas de autores individuales;Collected works by individual authors;Medicina general. Profesiones de la salud
W 609;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Medicina general. Profesiones de la salud
W 611;Historia;History;Medicina general. Profesiones de la salud
W 611.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 613;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Medicina general. Profesiones de la salud
W 615;Clasificación. Terminología;Classification. Terminology;Medicina general. Profesiones de la salud
W 616;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Medicina general. Profesiones de la salud
W 616.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 617;Atlas. Obras pictóricas;Atlases. Pictorial works;Medicina general. Profesiones de la salud
W 618;Educación;Education;Medicina general. Profesiones de la salud
W 618.2;Materiales educativos;Educational materials;Medicina general. Profesiones de la salud
W 622;Directorios;Directories;Medicina general. Profesiones de la salud
W 622.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 623;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Medicina general. Profesiones de la salud
W 624;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Medicina general. Profesiones de la salud
W 625;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Medicina general. Profesiones de la salud
W 626;Equipos y suministros;Equipment and supplies;Medicina general. Profesiones de la salud
W 626.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Medicina general. Profesiones de la salud
W 627;Museos colectivos, exposiciones, etc., sobre temas forenses;Collective museums, exhibitions, etc., on forensic subjects;Medicina general. Profesiones de la salud
W 628;Museos individuales, exposiciones, etc., sobre temas forenses;Individual museums, exhibitions, etc., on forensic subjects;Medicina general. Profesiones de la salud
[W 632];[Este número no se utiliza];[This number not used];Medicina general. Profesiones de la salud
W 639;Manuales. Guías de recursos;Handbooks. Resource guides;Medicina general. Profesiones de la salud
W 700;Obras generales;General works;Medicina general. Profesiones de la salud
W 705;Odontología forense;Forensic dentistry;Medicina general. Profesiones de la salud
W 725;Testimonio de expertos;Expert testimony;Medicina general. Profesiones de la salud
W 740;Psiquiatría forense. Psicología forense.;Forensic psychiatry. Forensic psychology;Medicina general. Profesiones de la salud
W 750;Otras ciencias forenses;Other forensic sciences;Medicina general. Profesiones de la salud
W 775;Obras generales;General works;Medicina general. Profesiones de la salud
[W 780];[Este número no se utiliza];[This number not used];Medicina general. Profesiones de la salud
W 783;Proceso de enfermedad;Malingering;Medicina general. Profesiones de la salud
W 786;Identificación biométrica. Identificación genética.;Biometric identification. Genetic identification;Medicina general. Profesiones de la salud
W 789;Establecimiento legal del inicio de la vida;Legal establishment of the beginning of life;Medicina general. Profesiones de la salud
W 791;Consanguinidad. Paternidad;Consanguinity. Paternity;Medicina general. Profesiones de la salud
W 795;Violación. Delitos sexuales;Rape. Sexual offenses;Medicina general. Profesiones de la salud
W 800;Antropología forense. Examen de cadáveres. Funciones de los médicos forenses.;Forensic anthropology. Examination of dead bodies. Duties of coroners;Medicina general. Profesiones de la salud
W 820;Señales de muerte. Hora de la muerte. Muerte súbita.;Signs of death. Time of death. Sudden death;Medicina general. Profesiones de la salud
[W 822];[Este número no se utiliza];[This number not used];Medicina general. Profesiones de la salud
W 825;Determinación de la causa de muerte. Autopsia forense.;Determination of cause of death. Forensic autopsy;Medicina general. Profesiones de la salud
W 843;Trauma;Trauma;Medicina general. Profesiones de la salud
W 860;Violencia criminal. Homicidio.;Criminal violence. Homicide;Medicina general. Profesiones de la salud
W 864;Suicidio;Suicide;Medicina general. Profesiones de la salud
W 867;aborto ilegal;Illegal abortion;Medicina general. Profesiones de la salud
W 900;Aspectos forenses de los seguros;Forensic aspects of insurance;Medicina general. Profesiones de la salud
W 910;Aspectos forenses de la indemnización a las víctimas de violencia criminal;Forensic aspects of compensation to victims of criminal violence;Medicina general. Profesiones de la salud
W 925;Aspectos forenses de las enfermedades y lesiones profesionales;Forensic aspects of occupational disease and injury;Medicina general. Profesiones de la salud
WA 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Salud pública
